epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2646.41,0.84203,0.60117,1.07351,0.93349,0.95987,0.97534,0.77175,1.00783,0.63518,1.11569,0.000264085,0.000264085,0.000264085
79,2680.5,0.82667,0.59707,1.07486,0.94236,0.94588,0.97341,0.7699,0.99921,0.64543,1.10988,0.000253086,0.000253086,0.000253086
80,2714.61,0.82993,0.58969,1.07729,0.94838,0.94972,0.97598,0.77315,0.99782,0.64667,1.10727,0.000242087,0.000242087,0.000242087
81,2748.35,0.8248,0.59074,1.07304,0.93797,0.9492,0.97487,0.77113,0.99931,0.64871,1.11566,0.000231088,0.000231088,0.000231088
82,2780.49,0.83713,0.59566,1.07646,0.93519,0.95435,0.97635,0.77039,0.99542,0.63117,1.11235,0.000220089,0.000220089,0.000220089
83,2812.67,0.81322,0.57554,1.06286,0.94504,0.9452,0.97714,0.77174,1.00096,0.63507,1.11301,0.00020909,0.00020909,0.00020909
84,2846.24,0.81667,0.58759,1.06778,0.94681,0.95306,0.97633,0.77217,1.0019,0.64088,1.11754,0.000198091,0.000198091,0.000198091
85,2881.21,0.8152,0.5859,1.06254,0.93933,0.94849,0.97313,0.77366,0.99272,0.64245,1.10833,0.000187092,0.000187092,0.000187092
86,2914.79,0.80888,0.58725,1.06463,0.94335,0.95118,0.97497,0.77258,0.98555,0.64477,1.09936,0.000176094,0.000176094,0.000176094
87,2948.48,0.81343,0.58116,1.06525,0.93894,0.95296,0.97549,0.77348,0.98608,0.64288,1.0992,0.000165095,0.000165095,0.000165095
88,2982.36,0.79655,0.57125,1.05919,0.9365,0.9564,0.97594,0.77661,0.98415,0.63959,1.09812,0.000154096,0.000154096,0.000154096
89,3016.55,0.81803,0.58067,1.06929,0.9393,0.96119,0.97825,0.7785,0.98307,0.63811,1.10343,0.000143097,0.000143097,0.000143097
90,3049.34,0.805,0.57647,1.06291,0.94515,0.95379,0.97697,0.77671,0.98553,0.64137,1.10049,0.000132098,0.000132098,0.000132098
91,3082.89,0.77663,0.50465,1.05152,0.93698,0.95262,0.97398,0.77644,0.98887,0.64217,1.10357,0.000121099,0.000121099,0.000121099
92,3116.89,0.76351,0.5002,1.04337,0.93701,0.95416,0.97315,0.77737,0.98776,0.6445,1.10661,0.0001101,0.0001101,0.0001101
93,3152.03,0.7572,0.49759,1.04109,0.93746,0.9582,0.97353,0.77629,0.97909,0.64062,1.10366,9.91012e-05,9.91012e-05,9.91012e-05
94,3183.34,0.74666,0.48702,1.03272,0.9401,0.95293,0.97309,0.77466,0.99033,0.63311,1.10924,8.81023e-05,8.81023e-05,8.81023e-05
95,3216.15,0.74741,0.49155,1.03226,0.94133,0.95261,0.97362,0.77528,0.98262,0.63815,1.10569,7.71034e-05,7.71034e-05,7.71034e-05
96,3250.4,0.74289,0.48884,1.03317,0.9454,0.95082,0.97352,0.77828,0.97869,0.64035,1.1001,6.61045e-05,6.61045e-05,6.61045e-05
97,3284.19,0.73591,0.48089,1.03064,0.9528,0.94538,0.97387,0.77438,0.9872,0.6327,1.10776,5.51056e-05,5.51056e-05,5.51056e-05
98,3318.44,0.7351,0.47921,1.02725,0.94573,0.9484,0.97333,0.77594,0.97847,0.63319,1.10315,4.41067e-05,4.41067e-05,4.41067e-05
99,3351.29,0.73318,0.47553,1.02795,0.94619,0.94969,0.97332,0.77799,0.979,0.63167,1.1035,3.31078e-05,3.31078e-05,3.31078e-05
100,3385.53,0.73004,0.47433,1.02756,0.94746,0.94695,0.9738,0.77852,0.98013,0.63306,1.1049,2.21089e-05,2.21089e-05,2.21089e-05
